guid,tag
1,positive
2,positive
3,positive
4,positive
6,positive
7,positive
11,positive
12,positive
14,positive
15,positive
16,positive
17,positive
18,positive
19,negative
21,positive
22,negative
23,positive
24,neutral
25,neutral
26,neutral
27,neutral
28,positive
29,positive
30,negative
32,positive
33,neutral
34,positive
35,positive
36,positive
39,neutral
42,positive
43,positive
44,positive
45,positive
46,neutral
47,positive
48,positive
49,positive
52,negative
53,positive
54,positive
56,neutral
59,positive
61,positive
62,positive
63,positive
64,negative
67,positive
68,positive
70,positive
71,positive
72,negative
73,neutral
77,positive
78,positive
79,positive
80,negative
81,positive
82,positive
83,positive
84,positive
85,neutral
86,positive
88,positive
91,positive
93,negative
94,positive
95,positive
97,negative
98,positive
99,positive
100,positive
101,positive
102,positive
104,neutral
105,neutral
106,neutral
107,positive
108,neutral
109,positive
110,negative
111,positive
113,positive
114,positive
115,positive
117,neutral
118,negative
119,negative
120,positive
122,positive
125,positive
127,positive
128,positive
129,positive
130,negative
131,negative
133,positive
134,negative
135,positive
137,positive
138,positive
139,positive
140,neutral
141,positive
142,neutral
143,positive
146,neutral
147,positive
148,positive
149,positive
151,positive
153,negative
154,positive
155,neutral
156,positive
157,positive
158,negative
159,negative
161,positive
162,positive
163,positive
164,negative
165,neutral
166,positive
167,positive
168,positive
169,negative
170,positive
171,positive
175,positive
177,positive
178,positive
179,negative
181,neutral
182,positive
183,positive
186,negative
187,positive
189,negative
190,negative
191,positive
192,positive
193,positive
194,negative
195,negative
196,negative
197,positive
199,positive
201,negative
202,negative
203,negative
205,negative
207,positive
208,negative
209,positive
210,positive
211,neutral
212,positive
214,positive
215,positive
216,positive
217,positive
218,positive
219,neutral
220,positive
221,positive
223,positive
225,positive
226,positive
227,positive
228,positive
229,positive
230,positive
231,positive
232,negative
233,positive
234,negative
237,positive
240,positive
241,positive
242,positive
243,neutral
244,positive
245,neutral
246,negative
247,positive
248,negative
249,negative
251,positive
253,negative
254,negative
255,negative
256,positive
257,positive
258,negative
260,negative
261,positive
263,positive
265,positive
266,positive
267,positive
268,positive
269,neutral
270,positive
271,positive
273,negative
274,positive
276,positive
277,positive
278,positive
280,negative
281,positive
283,positive
284,positive
285,negative
287,positive
288,positive
289,positive
291,positive
292,positive
293,positive
294,positive
295,positive
297,negative
298,positive
299,positive
300,positive
302,negative
